Country/Economy,Level,Policy type,Key policy measures and targets,Year announced,Category,Source
European Union,Supranational,Legislation,"CO2 emission standards: 15% CO2 emission reduction for both new cars and vans by 2025 compared to 2021 levels, 55% for cars and 50% for vans reduction by 2030, 100% reduction by 2035.",2022,LDV,European Commission
Finland,National,Legislation,"Zero emission cars pay 0% import tax, and the lowest annual basic vehicle tax with additional vehicle tax based on vehicle weight and a fuel multiplier.",2022,"LDV, Taxation",Government of Finland
Finland,National,Legislation,Funding support for alternative fuel infrastructure including charging stations.,2022,EVSE,Government of Finland
Finland,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Cuba,National,Objective,"45% of the total vehicle fleet in the country's state sector to be electric, and 38 000 charging points to be installed by 2030.",2021,"Multiple, EVSE",Government of Cuba
Denmark,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
Ecuador,National,Legislation,"Low and zero emission vehicles are exempt from VAT. They are also exempt of import taxes, along with charging equipment.",2021,Taxation,Government of Ecuador
El Salvador,National,Announced target,Scenarios include 7-20% EV sales penetration in 2030.,2021,Multiple,Government of El Salvador
Finland,National,Objective,700 000 electric car and 45 000 electric van stock by 2030 (of which at least 50% are BEVs).,2021,LDV,Government of Finland
Czechia,National,Legislation,"Exemption from registration fee and road tolls for BEV, FCEV, and HEVs with CO2 emissions less than 50 grammes per km.",2020,"LDV, Taxation",Government of the Czech Republic
Czechia,National,Objective,50% share of alternatively fuelled vehicles in the government (public) fleet (M1 and N1) by 2030.,2020,LDV,Government of the Czech Republic
Denmark,National,Objective,1 million passenger LDV stock to be ZEV by 2030.,2020,LDV,Government of Denmark
Dominican Republic,National,Objective,"30% of the fleet to be electric by 2030, and 100% by 2050.",2020,Bus,Government of the Dominican Republic
Dominican Republic,National,Objective,"14 000 charging stations in 2030, 150 000 by 2050.",2020,EVSE,Government of the Dominican Republic
Dominican Republic,National,Objective,10% of the private car fleet being EVs by 2030; 70% by 2050 (10% and 50% for the light commercial fleet).,2020,LDV,Government of the Dominican Republic
Dominican Republic,National,Objective,EV owners pay only 50% of the new car sales VAT tax and the first license plate.,2020,Taxation,Government of the Dominican Republic
Dominican Republic,National,Objective,5% of the private motorcycle fleet (plus 20% of the public sector fleet) to be electric by 2030; 35% by 2050.,2020,2/3W,Government of the Dominican Republic
European Union,Supranational,Objective,30 million passenger ZEV stock by 2030 and nearly all passenger LDV and HDV stock by 2050 (Sustainable and Smart Mobility Strategy).,2020,"LDV, M/HDV",European Commission
Finland,National,Announced target,"At least 250 000 BEV, FCEV, and PHEVs by 2030.",2020,Multiple,Government of Finland
Colombia,National,Legislation,Minimum EV purchase quota of 30% for public service fleets by 2025.,2019,Bus,Government of Colombia
Colombia,National,Legislation,Minimum EV charging infrastructure requirements specify a minimum of 5 charging stations in all Special Category municipalities and 20 stations by 2022 in Bogotá.,2019,EVSE,Government of Colombia
Colombia,National,Legislation,"A national minimum share of 30% EVs for new public buses purchased or rented by 2025, while city bus fleets must ensure that 10% of new buses are EVs in 2025, rising every two years up to 100% by 2035.",2019,Bus,Government of Colombia
Colombia,National,Legislation,Law 1972 of 2019: 100% Compliance with Euro-VI equivalent standards for all HDVs in circulation by 2035.,2019,M/HDV,Government of Colombia
Colombia,National,Objective,600 000 EV stock (i.e. registrations) across all modes by 2030.,2019,Multiple,Government of Colombia
Ecuador,National,Legislation,100% of new public transport fleet to be electric by 2025.,2019,Bus,Government of Ecuador
European Union,Supranational,Announced target,"Clean Vehicles Directive: Public procurement targets of 6% to 10% share of clean HDV (N2 and N3) sales by 2026, and 7% to 15% by 2031.",2019,M/HDV,European Commission
European Union,Supranational,Announced target,"Clean Vehicles Directive: Public procurement targets of 27% to 45% share of clean bus (M3) sales by 2026, and 33% to 65% by 2031, 50% of which must be ZEVs (or 25% if 80% or more of bus purchases in that period are double-deckers).",2019,Bus,European Commission
European Union,Supranational,Announced target,Clean Vehicles Directive: EV public procurement targets of 17.6% to 38.5% EV share of LDV sales by 2025.,2019,LDV,European Commission
European Union,Supranational,Objective,European Green Deal: 13 million low-emission passenger vehicles by 2025.,2019,LDV,European Commission
Costa Rica,National,Objective,"By 2050, 60% of the fleet of light vehicles (private and institutional) will be zero emissions.",2018,LDV,Government of Costa Rica
Costa Rica,National,Objective,At least 50% of cargo to be highly efficient by 2050.,2018,M/HDV,Government of Costa Rica
Costa Rica,National,Objective,"70% of taxis to be zero-emissions by 2035, 100% by 2050.",2018,LDV,Government of Costa Rica
Costa Rica,National,Objective,"70% of buses to be zero-emissions by 2035, 100% by 2050.",2018,Bus,Government of Costa Rica
Costa Rica,National,Objective,"25% of the fleet should be electric by 2035, 60% by 2050, and 100% of new sales by 2050.",2018,LDV,Government of Costa Rica
Denmark,National,Announced target,"Urban public transport to be emission-free from 2030, starting with new sales from 2020. 75% of public buses will be low- or zero-emission by 2030.",2018,Bus,Government of Denmark
China,National,Objective,"Aiming to increase competitiveness in the global auto industry by 2025, focussing on NEVs and intelligent vehicle technologies. (China's mid-to-long-term automotive industry development plan).",2017,Manufacturing,"China, Ministry of Industry and Information Technology"
Costa Rica,National,Legislation,Tax exemptions and reductions when purchasing an EV.,2017,Taxation,Government of Costa Rica
Czechia,National,Legislation,Funding available for government or municipal purchases of alternatively fuelled vehicles with 80% of funding for BEV/PHEV solutions.,2017,Multiple,Government of the Czech Republic
Finland,National,Proposal,"Reform of benefit-in-kind taxation to favour low-emissions vehicles, and vehicle charging benefits will no longer be taxable.",,"LDV, Taxation",Government of Finland
France,National,Legislation,"Tax on the mass of passenger vehicles will include BEVs from the 1st July 2026, with extra penalties added to any electric car with a weight exceeding 2.1 tonnes (including a deduction of 600 kg compared to other cars). FCEVs are exempted from this tax.",2025,"LDV, Taxation",Government of France
Greece,National,Proposal,50% of new registrations of passenger cars and 40% of new registrations of LCVs must be electric by 2030 (National Energy Climate Plan).,2024,LDV,Government of Greece
France,National,Announced target,"Reach 400 000 public charging points by 2030, including at least 50 000 with fast charging for a total of 8 GW of public charging capacity.",2023,EVSE,Government of France
France,National,Legislation,"Grants towards the purchase of a new BEV/FCEV, as well as used EVs and retrofits, bonuses for low-income individuals. The grants were lowered from a maximum of 7000 EUR to 4000 EUR.",2023,LDV,Government of France
France,National,Legislation,"EVs must meet a minimum environmental score based on production, assembly, battery, and transport and logistics in order to qualify for French subsidies and some fiscal measures",2023,"Multiple, Manufacturing",Government of France
Ghana,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2023,M/HDV,CALSTART: Drive to Zero MOU
Honduras,National,Proposal,"20% of the fleet being electric by 2050, and 100% zero or low emission vehicles for light vehicles sales by 2050.",2023,LDV,Government of Honduras
France,National,Legislation,Grant of up to 40% of the cost of a new EV/FCEV truck.,2022,M/HDV,Government of France
France,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Gambia,National,Announced target,"Promote low emission fuel and HEVs, introduce an age limit of a maximum of 3 years for imported vehicles.",2022,LDV,Government of Gambia
Germany,National,Announced target,Approximately one-third of kilometres travelled to take place on the basis of electrical drives or eFuels by 2030.,2022,M/HDV,Government of Germany
Germany,Multi-national,Objective,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035. Germany also specifically for 100% of all new or replacement vehicles to be environmentally friendly drive technologies by 2030, and by 2025 at least 50% of which will be electric drives.",2022,"LDV, M/HDV",Zero Emissions Government Fleet Declaration
Ghana,National,Objective,"4%, 16%, and 32% of cars sold to be EVs in 2025, 2030, and 2050 respectively.",2022,LDV,Government of Ghana
Ghana,National,Objective,"4%, 16%, and 32% of public buses sold to be EVs in 2025, 2030, and 2050 respectively.",2022,Bus,Government of Ghana
Ghana,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,2022,LDV,Accelerating to Zero Coalition
Greece,National,Legislation,"From 2024, 25% of new company cars to have emissions less than 50gCO2/km from 2024. 33% of taxis and leased vehicles to be zero-emissions from 2026.",2022,LDV,Government of Greece
Greece,National,Legislation,Ensure adequate charging facilities to meet EV targets.,2022,EVSE,Government of Greece
Greece,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Holy See,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Honduras,National,Proposal,At least 50% EVs in the urban public transport sector for passengers and light cargo by 2030. Announcement of possible adoption of ZEVs for mass public transport.,2022,Bus,Government of Honduras
Finland,National,Objective,4 600 electric trucks by 2030.,2021,M/HDV,Government of Finland
Finland,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
France,National,Legislation,"Implementation of LEZs in metropolitan agglomerations of more than 150 000 inhabitants by 31 December 2024, and provision for interest-free EV purchase loans to low-income households living in these zones.",2021,Multiple,Government of France
France,National,Legislation,Express deduction of 20-60% of the investment cost in alternatively fuelled trucks depending on vehicle size.,2021,"M/HDV, Taxation",Government of France
France,National,Legislation,No new sales of new HDVs assigned to the transport of people or goods and using mainly fossil fuels by 2040.,2021,M/HDV,Government of France
France,National,Legislation,End sale of new passenger cars emitting more than 123 g CO2/km by 2030.,2021,LDV,Government of France
France,National,Objective,Produce 2 million electric and hybrid cars domestically by 2030.,2021,"Manufacturing, LDV",Government of France
Greece,National,Legislation,"Registration tax exemption for BEVs; reduction of 75% for PHEVs; and reduction of 50% for HEVs. BEVs, PHEVs, and HEVs (>1549 cc) are exempt from annual circulation tax. BEVs and PHEVs as company vehicles are exempt from benefit-in-kind tax.",2021,LDV,Governmental
France,National,Legislation,Tax relief available on the installation of a home charger.,2020,"EVSE, Taxation",Government of France
France,National,Legislation,Subsidies of 30% of the cost of the installation of chargers that are made publicly available.,2020,EVSE,Government of France
Georgia,National,Legislation,"Incentives to promote EV adoption, such as VAT exemptions and reduced import taxes for electric and hybrid vehicles.",2020,"Taxation, Multiple",Government of Georgia
Greece,National,Legislation,Grants towards the purchase of new private BEVs and taxis. These grants are also dependent on returning old cars for scrappage and the age of the BEV buyer.,2020,LDV,Governmental
Hungary,National,Legislation,"Grants towards the private and commercial purchase of a BEV, up to 55% of the purchase cost for taxis.",2020,LDV,Government of Hungary
France,National,Legislation,"In 2022, companies with over 100 LDVs must include at least 10% low-emissions vehicles in their renewals, rising to 20% in 2024, 35% in 2027, and 50% by 2030 (Article 77).",2019,LDV,Government of France
France,National,Legislation,End sale of new fossil fuel LDVs by 2040.,2019,LDV,Government of France
France,National,Legislation,"At least 50% of public/state LDV renewals must be low-emission vehicles, rising to 70% from 2027. For local authorities, from 2026, 37.4% of all LDV renewals must be very low-emissions.",2019,LDV,Government of France
France,National,Legislation,"At least 50% of public buses and coaches must be low-emissions, 100% from 2025. In large towns/cities, at least 50% of buses must be very low-emission from 2022.",2019,Bus,Government of France
France,National,Objective,"200 heavy commercial FCEV stock by 2023, and 800-2 000 heavy commercial FCEV stock by 2028.",2019,M/HDV,Government of France
Germany,National,Objective,Plan to have 15 million EVs on Germany roads by 2030,2019,LDV,Government of Germany
Hungary,National,Legislation,"Funded programme that seeks to replace existing bus fleet with electric (BEV, FCEV, and trolley e-bus) options and encourage local production.",2019,"Bus, Manufacturing",Government of Hungary
France,National,Objective,5 000 passenger and commercial LDV FCEV stock by 2023 and 20 000-50 000 by 2028.,2018,LDV,Government of France
Germany,National,Legislation,"Motor tax exemption for EVs with less than 50g CO2/km emissions or at least 60km range (80km from 2025) until 2030. Privileges for electric cars on German roads, e.g. car parking and bus lane use.",2012,"LDV, Taxation",Government of Germany
Germany,National,Legislation,"10 year (up to 2030) exemption of vehicle taxes for commercial EVs, as well as other tax incentives for company cars, and company-facilitated EV charging for new registrations until 31/12/2025.",,Taxation,Government of Germany
Iceland,National,Legislation,"As of 2024, electric and hybrid vehicles will pay road tax per kilometre driven, this will be ISK 6 (Icelandic kronur) (USD 0.04) per km. For diesel and petrol cars this will come into effect one year later, in 2025.",2024,"LDV, Taxation",Government of Iceland
India,National,Announced target,"India’s Bureau of Energy Efficiency has shared a draft of future corporate average fuel economy (CAFE) III and IV standards for light-duty passenger vehicles with relevant stakeholders to seek their comments. The proposed standards cover model years 2027–2032 and 2032–2037, respectively, and target CO2 emissions of 91.7 g CO2/km and 70 g CO2/km as measured over the WLTC.",2024,LDV,"Bureau of Energy Efficiency, India"
India,National,Legislation,"PM e-Bus Sewa-Payment Security Mechanism (PSM) Scheme: Rs. 3,435.33 crore (USD 412 million) to support the deployment of more than 38,000 electric buses in the country.",2024,Bus,"India, Department of Heavy Industries"
India,National,Legislation,"Scheme to Promote Manufacturing of Electric Passenger Cars in India (SMEC). Carmakers committing to setup e-4W manufacturing facilities in India within 3 years, and to achieve 50% domestic value addition within 5 years, will be allowed to import a limited amount of electric cars manufactured by them with reduced import duties.",2024,Manufacturing,"India, Department of Heavy Industries"
India,National,Legislation,"PM Electric Drive Revolution in Innovative Vehicle Enhancement (PM E-DRIVE) Scheme. USD 1.3 billion scheme to provide purchase incentives for e-2W, e-3W, e-ambulances, e-trucks and other new emerging EV categories.",2024,Multiple,"India, Department of Heavy Industries"
Israel,National,Proposal,"EV purchase tax rates (currently 10% but to increase to 20%) are lower than ICE purchases taxes (83%); for plug-in hybrid vehicles (PHEVs), purchase taxes are set to increase from 40% to 55%.",2024,Taxation,Government of Israel
Japan,National,Announced target,Aims to account for 30% of the 35-41 million global software-defined vehicle (SDV) sales in 2030 - about 11-12 million units. The Japanese government also targets a stock of 17-19 million SDVs by 2035 (and 30% of global SDV sales).,2024,LDV,Government of Japan
Japan,National,Legislation,Purchase subsidies for passenger cars.,2024,LDV,Government of Japan
Japan,National,Legislation,"Purchase subsidies for buses, vans and trucks for commercial use.",2024,M/HDV,Government of Japan
Kazakhstan,National,Proposal,"Support the local manufacturing of EVs, including tax incentives and subsidies for EV producers.",2024,Manufacturing,Government of Kazakhstan
Malaysia,National,Legislation,Income tax rebates for EVSE manufacturers.,2024,"Taxation, EVSE",Government of Malaysia
Malaysia,National,Legislation,"Exemptions of road, import and excise taxes for electric vehicles.",2024,"Taxation, Multiple",Government of Malaysia
Mozambique,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2024,M/HDV,CALSTART: Drive to Zero MOU
New Zealand,National,Announced target,Aiming for a network of 10 000 public charging points by 2030.,2024,EVSE,Government of New Zealand
New Zealand,National,Legislation,"Low Emissions Heavy Vehicle Fund (LEHVF) of USD 27.75 million towards offsetting the purchase price of low- and zero-emissions heavy vehicles. The LEHVF will contribute up to 25% of the cost of new zero- and low-emissions heavy vehicles, and up to 25% of the cost to convert existing higher-emitting heavy vehicles to be powered by low-emissions technology.",2024,M/HDV,Government of New Zealand
Norway,National,Legislation,VAT (25%) exemption for BEVs below NOK 500 000 (€ 44 000) price (Introduced in 2023)​.,2024,Taxation,Government of Norway
Pakistan,National,Announced target,"New Energy Vehicle (NEV) Policy, aimed at transitioning 30% of vehicles stock in Pakistan to electric by 2030.",2024,Multiple,Government of Pakistan
Philippines,National,Legislation,"A tax incentive programme has been expanded to electric 2/3Ws, HEV and PHEV cars until 2028 to improve the affordability of EVs for consumers.",2024,Multiple,"Department of Energy, Philippines"
Indonesia,National,Announced target,Indonesia sets aside USD 455 million to subsidise the sale of 1 million electric motorcycles.,2023,2/3W,Government of Indonesia
Ireland,National,Announced target,"35% ZEV share of HDV registrations by 2030, with an interim target of 700 units by 2025.",2023,M/HDV,Government of Ireland
Ireland,National,Legislation,"30% of stock, and 100% of sales passenger LDV sales to be EVs by 2030 (2023 reiteration of 100% sales target and formalisation of 30% stock target, ca. 950 000).",2023,LDV,Government of Ireland
Israel,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2023,M/HDV,CALSTART: Drive to Zero MOU
Japan,National,Objective,300 000 charging ports including 30 000 public fast chargers (and 1 000 hydrogen stations) by 2030.,2023,EVSE,Government of Japan
Kazakhstan,National,Proposal,Roadmap for EV Infrastructure: Aim to create the infrastructure necessary for electric cars in all big cities throughout the country by 2029.,2023,EVSE,Government of Kazakhstan
Korea,National,Legislation,"Grants available towards the purchase of private and commercial LDVs, which can be combined with additional local incentives.",2023,LDV,Government of Korea
Korea,National,Legislation,Grants towards the purchase of electric buses.,2023,Bus,Government of Korea
Malaysia,National,Announced target,Foster robust local EV manufacturing capabilities to achieve 90% local EV manufacturing by 2050.,2023,Manufacturing,Government of Malaysia
Malaysia,National,Announced target,80% share of electric vehicles in two-wheeler fleet by 2050.,2023,2/3W,Government of Malaysia
Malaysia,National,Announced target,80% share of electric vehicles in car fleet by 2050.,2023,LDV,Government of Malaysia
Malaysia,National,Legislation,"Tax relief for companies investing in EVSE manufacturing, as well as import duty and sales tax exemptions for locally assembled EVs to the end of 2027, and imported EVs to the end of 2025.",2023,"Manufacturing, Taxation",Government of Malaysia
Malta,National,Legislation,"Grants towards the purchase of private and commercial BEVs, with an additional bonus for scrapping an old vehicle",2023,LDV,Government of Malta
Mexico,National,Proposal,"50% of passenger vehicle sales to be HEVs, PHEVs, and BEVs by 2030, 100% to be PHEVs and BEVs by 2040, and 100% BEVs by 2050",2023,"LDV, Bus",Government of Mexico
Mexico,National,Proposal,"Deployment of 338,000 electric HDVs by 2030, 894,000 by 2040, and 987,000 by 2050.",2023,"M/HDV, Bus",Government of Mexico
Mexico,National,Proposal,"Deployment of 7M electric LDVs by 2030, 22M by 2040, and 31M by 2050.",2023,LDV,Government of Mexico
New Zealand,National,Announced target,Comprehensive EV charging strategy including a target for a charging hub every 150-200km on main highways by 2028.,2023,EVSE,Government of New Zealand
Nigeria,National,Legislation,Vehicle finance scheme aiming to facilitate the adoption of 45 000 passenger cars and 50 000 commercial vehicles per annum.,2023,"LDV, Taxation",Government of Nigeria
Nigeria,National,Legislation,"Nigerian Automotive Industry Development Plan (NADIP) aims to boost local production of vehicles (40% local content target) and promote EVs (30% locally produced vehicles to be electric) by 2032, with incentives including reduced import duties and tax incentives for manufacturers.",2023,Manufacturing,Government of Nigeria
Norway,National,Legislation,Norway will introduce value added tax on higher-cost EV purchases from 2023; previously all EV sales were exempt from value added tax.,2023,"Taxation, LDV",Government of Norway
Papua New Guinea,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2023,M/HDV,CALSTART: Drive to Zero MOU
Philippines,National,Objective,"Deployment of 600, almost 1 200, and almost 1 800 new BEVs over the period up to 2028, to 2034, and to 2040, respectively, in the Business as Usual case. In the Clean Energy Scenario these figures are over 2 200, almost 1 500, and over 1 600.",2023,Bus,Government of the Philippines
Philippines,National,Objective,"Deployment of almost 110 000, almost 200 000, and almost 300 000 new EVs over the period up to 2028, to 2034, and to 2040, respectively, in the Business as Usual case. In the Clean Energy Scenario these figures are over 550 000, almost 650 000, and over 850 000 and a greater share of early adoption is HEVs, with later adoption predominately BEVs.",2023,LDV,Government of the Philippines
Philippines,National,Objective,"Deployment of over 200 000, almost 400 000, and over 550 000 new EVs over the period up to 2028, to 2034, and to 2040, respectively, in the Business as Usual case. In the Clean Energy Scenario these figures are almost 1.9 million, over 1.2 million, and almost 1.2 million.",2023,2/3W,Government of the Philippines
Indonesia,National,Legislation,Presidential instruction Indonesia requires government offices to procure and use EVs.,2022,Multiple,Government of Indonesia
Indonesia,National,Legislation,Tax incentive scheme to reduce the cost of electric LDVs and buses with shares of domestic components.,2022,"Taxation, LDV",Government of Indonesia
Ireland,National,Announced target,"Various grants and funding schemes in place to support infrastructure development, aiming for at least 11 HDV charging pools to be installed by 2025.",2022,EVSE,Government of Ireland
Ireland,Multi-national,Announced target,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022,M/HDV,CALSTART: Drive to Zero MOU
Ireland,National,Legislation,Grants towards the purchase of passenger and LCV BEVs.,2022,LDV,Sustainable Energy Authority of Ireland
Ireland,National,Legislation,"Grants for BEV public service vehicles, including bonuses for the scrappage of older more polluting vehicles with high mileage.",2022,LDV,Government of Ireland
Ireland,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Israel,Multi-national,Objective,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035. Israel also specifically aims for all new government passenger vehicles from 2022 to be hybrid, and all electric from 2025.",2022,"LDV, M/HDV",Zero Emissions Government Fleet Declaration
Israel,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Italy,National,Legislation,"Grants towards the purchase of a new BEV, lower amount for PHEVs, with an additional scrappage bonus available.",2022,LDV,Government of Italy
Italy,National,Legislation,Phase out new ICE cars by 2035 and LCVs by 2040.,2022,LDV,Government of Italy
Italy,National,Legislation,Grants towards the purchase of electric LCVs.,2022,LDV,Government of Italy
Italy,National,Legislation,Grants available towards the purchase of EV trucks.,2022,M/HDV,Government of Italy
Italy,National,Legislation,30% of the purchase price (up to EUR 3 000) for BEV and PHEV two/three-wheelers. Up to 40% (EUR 4 000) if a Euro 0-3 bike is scrapped.,2022,2/3W,Government of Italy
Japan,Subnational,Legislation,Tokyo: Subsidies for selected 2/3Ws to reach goal of 100% of new 2/3Ws being petrol-free by 2035.,2022,2/3W,Tokyo Metropolitan Environmental Public Corporation
Kenya,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,2022,LDV,Accelerating to Zero Coalition
Korea,National,Legislation,Funding available to incentivise EVSE.,2022,EVSE,Government of Korea
Kyrgyzstan,National,Legislation,VAT exemptions for EVs produced in Kyrgyzstan.,2022,Manufacturing,Government of Kyrgyzstan
Lebanon,National,Legislation,100% exemption on customs duties and internal consumption tax for EVs; 50% reduction in registration fees and mechanical inspection fees for EVs; 80% customs duty exemption for hybrid vehicles; expanded coverage to include e-bicycles and e-scooters.,2022,Multiple,Government of Lebanon
Liechtenstein,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022,M/HDV,CALSTART: Drive to Zero MOU
Liechtenstein,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Lithuania,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Lithuania,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022,M/HDV,CALSTART: Drive to Zero MOU
Luxembourg,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Malta,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Mexico,National,Legislation,"Recognition of lithium as strategic mineral, nationalisation of its value chain. Creation by decree of ""Lithium for Mexico"" (Litio para Mexico), a decentralised public body.",2022,Manufacturing,Government of Mexico
Mexico,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,2022,LDV,Accelerating to Zero Coalition
Mexico,National,Objective,50% of vehicles produced to be ZEV by 2030.,2022,Manufacturing,Government of Mexico
Morocco,National,Announced target,"Target of almost 30 000 charging points for LDVs, 2/3Ws, and buses by 2030.",2022,EVSE,Government of Morocco
Morocco,National,Announced target,Target of 2 000 electric buses in 2030.,2022,Bus,Government of Morocco
Morocco,National,Announced target,Target of 250 000 electric 2/3Ws in 2030.,2022,2/3W,Government of Morocco
Morocco,National,Announced target,Target of 258 000 electric cars in 2030.,2022,LDV,Government of Morocco
Morocco,National,Legislation,"Reduced duties, green loans and subsidies, as well as exemptions for EVs from luxury and road taxes.",2022,Taxation,Government of Morocco
Morocco,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,2022,LDV,Accelerating to Zero Coalition
Netherlands,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Netherlands,Multi-national,Objective,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035.",2022,"LDV, M/HDV",Zero Emissions Government Fleet Declaration
New Zealand,National,Announced target,Reduce emissions from freight transport by 35% by 2035.,2022,M/HDV,Government of New Zealand
New Zealand,National,Announced target,Increase ZEVs to 30% of the light fleet by 2035.,2022,LDV,Government of New Zealand
New Zealand,National,Legislation,The Clean Vehicle Standard sets ambitious targets (and imposes financial penalties for non-compliance) for vehicle distributors to reduce average emissions to 65 grammes of CO2/km for passenger cars and 131 grammes for LCVs for vehicles entering New Zealand by 2029. Revenues generated are used to provide rebates on BEVs and PHEVs.,2022,LDV,Government of New Zealand
New Zealand,National,Legislation,"The Clean Car Discount scheme applied rebates for ZEV and low-emission vehicles, with reduced rates for used vehicles, and fees for higher emitting vehicles. The scheme ended on 31 December 2023.",2022,LDV,Government of New Zealand
New Zealand,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
New Zealand,Multi-national,Objective,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035.",2022,"LDV, M/HDV",Zero Emissions Government Fleet Declaration
Nicaragua,National,Legislation,"EVs are exempt from import customs duty, selective consumption tax, and value added tax.",2022,"Taxation, Multiple",Government of Nicaragua
Nigeria,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,2022,LDV,Accelerating to Zero Coalition
Norway,Subnational,Legislation,"Oslo: Oslo aims to be the first transport emissions-free city in Europe through a series of ultra low-emission zones. They will also stop the sale of new fossil fuel cars later in the decade, aiming to have all cars zero-emission by 2030.",2022,Multiple,Oslo City Government
Norway,National,Objective,Goods distribution in the biggest city centres to be virtually zero-emissions by 2030.,2022,Multiple,Government of Norway
